 Name_of_Dr , Dr_Exp, Specialisation , Address , Fee , Services 
Dr. Ashish vakeria,8,['Dentist'],"['# Jasmin Complex, 3rd Floor, Virani Chawk Landmark: Opposite Virani School, Rajkot']",['₹200'],"['Scaling / Polishing', 'Complete/Partial Dentures Fixing', 'Artificial Teeth', 'Impaction / Impacted Tooth Extraction', ' Tooth Extraction']"
Dr. Harshil Kotecha,18,['Dentist'],"['#F-5, Krishna Con-Arch, 1st Floor, University Main Road, Rajkot, Landmark: Opposite Metro Restaurant., Rajkot']",['₹100'],[]
Dr. Lajja Sheth,18,"['Cosmetic/Aesthetic Dentist', 'Dentist']","['Near Hemu Gadhavi Hall, Astron Chawk, Tagore Road, New Jagnath Plot., Landmark: Beside Bank Of Baroda., Rajkot']",[],[]
Dr. Ravi Kanzaria,10,['Dentist'],"['Office No.10, Galaxy Plaza, Sanala Road. Landmark: Near Umiya Circle., Rajkot']",['₹100'],[]
Dr. Jayendra Purohit,24,"['Dental Surgeon', 'Dentist', 'Oral And MaxilloFacial Surgeon']","['rd Floor, City Shops Complex, Near Jagnath Police Station, Dr. Yagnik Road, Rajkot, Rajkot']",['₹200'],"['BPS Dentures Fixing', 'Impaction / Impacted Tooth Extraction', 'Artificial Teeth']"
Dr. Kirti Hansalia,10,['Dentist'],"['1st Floor, J.P Complex, Rajlaxmi Park Corner, 150 Feet Ring Road, Landmark: Near Nanavati Chowk., Rajkot']",['₹100'],[]
Dr. Vaishali Trivedi,18,['Dentist'],"['Sparkle Complex, First Floor, Kotechanagar Main Road, Off Kalawad Road., Landmark: Near Kotecha Girls High School, Rajkot']",['₹100'],"['Acrylic Partial Denture', 'Impaction / Impacted Tooth Extraction', 'Cosmetic/ Aesthetic Dentistry']"
Dr. Arnav Talsania,13,['Dentist'],"['# 5/22, Gundavadi, Landmark: Near Gundavadi Chora, Rajkot']",['₹50'],"['Teeth Whitening', 'Artificial Teeth', ' Tooth Extraction', 'Crowns and Bridges Fixing', 'Teeth Reshaping']"
Dr. Khushal H. Dodiya,13,['Dentist'],"['Satyam Complex, Shri Rampark Corner, Kothariya Main Road, Landmark: Opposite Manav Dharm Ashram., Rajkot']",['₹50'],[]
Dr. Yagnesh Karia,6,['Orthodontist'],"['University Road, Above Metro restaurant, Near Varad Medical Store., Rajkot']",['₹100'],"['Presurgical Orthodontics', 'Dentofacial Orthopedics', 'Orthodontic Treatment', 'Jaw Orthopedics', 'Gap Closing', 'Gum Disease Treatment/ Surgery', ' Tooth Extraction', 'Scaling / Polishing', 'Wisdom Tooth Extraction', 'Full Denture (Acrylic)', 'Dental Braces Fixing', 'Complete/Partial Dentures Fixing', 'Dental Implant Fixing', 'Laser Gum Surgery', 'Prosthetics']"
Dr. Bhaumik Doshi,14,"['Implantologist', 'Dentist']","['Adeshwar, Ground Floor, Kotechanagar Main Road, Rajkot, Landmark: Opposite Kotecha Girls High School., Rajkot']",['₹100'],[]
Dr. Chirag Majithia,8,['Dentist'],"['Rajkot Kalavad Road, Nikawa., Rajkot']",['₹50'],[]
Dr. Jigar Kela,8,['Dentist'],"['Shanti Complex, Gopal Society, Mahendranagar Road, Morbi-2, Landmark: Opposite AXIS ATM, Rajkot']",['₹100'],[]
Dr. Malay R. Vaghamshi,12,['Dentist'],"['# Jubali Trade Centre, Jawahar Road Landmark: Opposite Jubali garden, Rajkot']",['₹300'],"['Conservative Dentistry', 'BPS Dentures Fixing', 'Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction', 'Artificial Teeth']"
Dr. Tejal Dhebar,19,['Dentist'],"['# 29/B, ""PARTH"", 1st Floor, Jankalyan Society Landmark: Near Astron Chawk, Rajkot']",['₹300'],"[' Tooth Extraction', 'Crowns and Bridges Fixing', 'Dental Fillings', 'Impaction / Impacted Tooth Extraction', 'Artificial Teeth']"
Dr. Ankur Patel,12,"['Endodontist', 'Cosmetic/Aesthetic Dentist', 'Dentist']","['Harbhole Arcade, University Road, Landmark: Near HP Petrol Pump, Rajkot']",['₹150'],"['Pulpectomy', 'Endo Surgery Or Apicoectomy', 'Conservative Dentistry', 'Gum Disease Treatment/ Surgery', 'Impaction / Impacted Tooth Extraction', 'Pit and Fissure Sealant', 'Post and Core', 'Ceramic Veneers / Crowns ', 'Cosmetic/ Aesthetic Dentistry', 'Smile Design', 'Minimally Invasive Dentistry', 'Scaling / Polishing', 'Crowns and Bridges Fixing', 'Oral Rehabilitation', 'Orthodontic Treatment']"
Dr. Richa Makadia,7,"['Dentist', 'Dental Surgeon']","['#1st Floor, Business Bay, Royal Park, Street No. 6., Landmark: Opposite Krishna Medicines., Rajkot']",['₹150'],[]
Dr. Manoj Radadiya,25,['Dentist'],"['# Jivandeep Complex, 80 Feet Road, Kothariya Colony Landmark: Shri P & TV Sheth High School, Rajkot']",['₹50'],"['Scaling / Polishing', 'Crowns and Bridges Fixing', 'Dental Crowns', 'Dental Checkup (General)', 'Gap Closing']"
Dr. Vanali Umrania,5,"['Periodontist', 'Implantologist']","['Dhruv Nagar Main Road, Landmark: Opposite Amrapali Cinema Branch, Rajkot']",['₹100'],[]
Dr. Harsh B. Dave,5,['Orthodontist'],"['111, Ashish comersial complex, 1st floor, Astron chawk, sardar Nagar Main Road, Rajkot, Rajkot']",['₹100'],[]
Dr. Mitesh Patel,12,['Dentist'],"['#1st Floor, Darshan Complex, Sadhu Vaswani Road, Yogi Nagar, Landmark: Opp Sun City Apartment & Above Bansidhar Dairy Farm., Rajkot']",['₹100'],[]
Dr. Deep Makati,6,"['Dentist', 'Endodontist']","['Number 22, New Jagnath, Landmark: Opposite Dr. Dastur Hospital, Rajkot']",['₹300'],[]
Dr. Pratik Goswami,Not Mentioned,['Dentist'],"['Vidhya Nagar Main Road, Virani Chawk, Landmark: Near Dr. Gadre Eye Clinic., Rajkot']",['₹100'],[]
